fid;PROVINSI;KABUPATEN ATAU KOTA;KECAMATAN;ISLAM;KRISTEN;KATHOLIK;HINDU;BUDHA;KONGHUCU;KEPERCAYAAN TERHADAP TUHAN YME
60206;JAWA TENGAH;PURWOREJO;Bagelen;30420;276;375;5;395;0;1
60272;JAWA TENGAH;PURWOREJO;Banyuurip;42382;694;590;6;3;0;17
60300;JAWA TENGAH;PURWOREJO;Bayan;52689;264;159;1;1;0;0
60537;JAWA TENGAH;PURWOREJO;Bener;59177;65;35;0;0;0;6
60473;JAWA TENGAH;PURWOREJO;Bruno;55654;30;38;0;0;0;1
60245;JAWA TENGAH;PURWOREJO;Butuh;43371;253;76;1;3;0;6
60492;JAWA TENGAH;PURWOREJO;Gebang;44635;82;64;0;17;0;2
60084;JAWA TENGAH;PURWOREJO;Grabag;51013;164;54;0;1;0;0
60224;JAWA TENGAH;PURWOREJO;Kaligesing;32079;350;384;0;1;0;1
60424;JAWA TENGAH;PURWOREJO;Kemiri;60644;132;29;0;1;0;0
60315;JAWA TENGAH;PURWOREJO;Kutoarjo;60245;1474;1189;2;38;4;0
60475;JAWA TENGAH;PURWOREJO;Loano;39329;61;92;0;10;0;0
60081;JAWA TENGAH;PURWOREJO;Ngombol;35417;280;474;2;0;0;0
60082;JAWA TENGAH;PURWOREJO;Pituruh;54182;128;233;0;1;0;0
60079;JAWA TENGAH;PURWOREJO;Purwodadi;41107;648;579;0;7;0;18
60209;JAWA TENGAH;PURWOREJO;Purworejo;82689;2794;2487;27;87;14;10
