fid;PROVINSI;KABKOT;KECAMATAN;POPULASI;JUMLAH_KK;LUAS;KEPADATAN;PERPINDAHAN;LAKI-LAKI;PEREMPUAN;BELUM_KAWIN;KAWIN,,
60206;JAWA TENGAH;PURWOREJO;Bagelen;31472;10710;64,17;9019,3;93;15619;15853;12484;15979
60272;JAWA TENGAH;PURWOREJO;Banyuurip;43692;15350;48,76;84943,75;145;21576;22116;18108;21733
60300;JAWA TENGAH;PURWOREJO;Bayan;53114;17952;45,75;32261,25;132;26409;26705;22425;26577
60537;JAWA TENGAH;PURWOREJO;Bener;59283;19297;105,35;17984,08;129;29950;29333;23512;31769
60473;JAWA TENGAH;PURWOREJO;Bruno;55723;18173;109,57;9813,81;120;28647;27076;23624;28935
60245;JAWA TENGAH;PURWOREJO;Butuh;43710;15064;48,33;38304,45;141;21709;22001;18033;22036
60492;JAWA TENGAH;PURWOREJO;Gebang;44800;15165;72,66;16918,35;115;22533;22267;18229;23103
60084;JAWA TENGAH;PURWOREJO;Grabag;51232;17450;69,38;25718,36;145;25753;25479;20984;26407
60224;JAWA TENGAH;PURWOREJO;Kaligesing;32815;10804;80,07;8721,17;79;16505;16310;12465;17773
60424;JAWA TENGAH;PURWOREJO;Kemiri;60806;20510;104,67;30440,72;132;30697;30109;24093;32457
60315;JAWA TENGAH;PURWOREJO;Kutoarjo;62952;21633;39,72;41142,82;170;31457;31495;26929;30462
60475;JAWA TENGAH;PURWOREJO;Loano;39492;13123;53,66;17055,19;75;19877;19615;16372;20157
60081;JAWA TENGAH;PURWOREJO;Ngombol;36173;12661;59,92;35878,41;119;17955;18218;14423;18834
60082;JAWA TENGAH;PURWOREJO;Pituruh;54544;18836;93,62;42012,18;179;27394;27150;21751;28741
60079;JAWA TENGAH;PURWOREJO;Purwodadi;42359;14966;56,96;29860,3;119;21001;21358;17341;21497
60209;JAWA TENGAH;PURWOREJO;Purworejo;88108;30482;54,14;45383,98;260;43720;44388;37931;42338
