FID,Kecamatan,GP_JML,GP_PCT,PS_JML,PS_PCT,AB_JML,AB_PCT,LAIN_JML,LAIN_PCT,NA_JML,NA_PCT,JML_RESP,PDIP_PCTL,GE_PCTL,DEM_PCTL,GK_PCTL,PAN_PCTL,PRD_PCTL,ND_PCTL,MAX_PRES,MAX_LEG,KL_MAXPRES,KL_MAXLEG
1,Bagelen,14,58.33333333,3,12.5,1,4.166666667,1,4.166666667,5,20.83333333,24,33.33333333,8.333333333,20.83333333,4.166666667,4.166666667,12.5,0,58.33333333,33.33333333,GP,PDIP
2,Banyuurip,24,46.15384615,15,28.84615385,1,1.923076923,1,1.923076923,11,21.15384615,52,23.07692308,9.615384615,21.15384615,21.15384615,1.923076923,13.46153846,0,46.15384615,23.07692308,GP,PDIP
3,Bayan,18,39.13043478,12,26.08695652,0,0,0,0,16,34.7826087,46,23.91304348,13.04347826,17.39130435,17.39130435,2.173913043,13.04347826,8.695652174,39.13043478,23.91304348,GP,PDIP
4,Bener,16,45.71428571,7,20,1,2.857142857,1,2.857142857,10,28.57142857,35,25.71428571,14.28571429,17.14285714,14.28571429,8.571428571,2.857142857,5.714285714,45.71428571,25.71428571,GP,PDIP
5,Bruno,8,25,12,37.5,1,3.125,0,0,11,34.375,32,31.25,15.625,3.125,18.75,6.25,6.25,6.25,37.5,31.25,PS,PDIP
6,Butuh,18,34.61538462,12,23.07692308,4,7.692307692,2,3.846153846,16,30.76923077,52,38.46153846,0,28.84615385,11.53846154,5.769230769,7.692307692,0,34.61538462,38.46153846,GP,PDIP
7,Gebang,18,45,11,27.5,0,0,1,2.5,10,25,40,27.5,17.5,12.5,12.5,7.5,7.5,2.5,45,27.5,GP,PDIP
8,Grabag,11,42.30769231,6,23.07692308,0,0,3,11.53846154,6,23.07692308,26,50,3.846153846,19.23076923,11.53846154,0,3.846153846,0,42.30769231,50,GP,PDIP
9,Kaligesing,6,33.33333333,7,38.88888889,0,0,1,5.555555556,4,22.22222222,18,44.44444444,16.66666667,5.555555556,16.66666667,0,11.11111111,5.555555556,38.88888889,44.44444444,PS,PDIP
10,Kemiri,12,16.90140845,27,38.02816901,1,1.408450704,0,0,31,43.66197183,71,33.8028169,9.85915493,15.49295775,12.67605634,12.67605634,7.042253521,1.408450704,43.66197183,33.8028169,NA,PDIP
11,Kutoarjo,19,32.75862069,11,18.96551724,1,1.724137931,3,5.172413793,24,41.37931034,58,32.75862069,6.896551724,25.86206897,8.620689655,5.172413793,13.79310345,1.724137931,41.37931034,32.75862069,NA,PDIP
12,Loano,16,48.48484848,8,24.24242424,0,0,0,0,9,27.27272727,33,45.45454545,6.060606061,15.15151515,3.03030303,3.03030303,6.060606061,0,48.48484848,45.45454545,GP,PDIP
13,Ngombol,16,51.61290323,10,32.25806452,0,0,1,3.225806452,4,12.90322581,31,25.80645161,12.90322581,29.03225806,9.677419355,6.451612903,6.451612903,0,51.61290323,29.03225806,GP,DEM
14,Pituruh,10,21.27659574,13,27.65957447,2,4.255319149,1,2.127659574,21,44.68085106,47,44.68085106,12.76595745,12.76595745,2.127659574,8.510638298,14.89361702,4.255319149,44.68085106,44.68085106,NA,PDIP
15,Purwodadi,27,41.53846154,18,27.69230769,0,0,2,3.076923077,18,27.69230769,65,30.76923077,12.30769231,15.38461538,10.76923077,6.153846154,16.92307692,1.538461538,41.53846154,30.76923077,GP,PDIP
16,Purworejo,25,45.45454545,14,25.45454545,3,5.454545455,3,5.454545455,10,18.18181818,55,45.45454545,14.54545455,14.54545455,9.090909091,3.636363636,5.454545455,3.636363636,45.45454545,45.45454545,GP,PDIP
